window,timestamp_s,predicted_class,confidence,p_clean,p_jam_am,p_jam_chirp,p_jam_dme,p_jam_fm,p_jam_narrowband,p_spoof_dynamic,p_spoof_matched_time,p_spoof_overpowered_gradual,p_spoof_overpowered_instant,p_spoof_position_push,preproc_gpu_ms,infer_gpu_ms,pipeline_ms
996,53.667,clean,0.481691,0.481691,0.002322,0.002349,0.049582,0.006917,0.010845,0.101009,0.010392,0.017914,0.291361,0.025617,18.476,4.461,23.504
997,53.720,clean,0.456131,0.456131,0.002847,0.002993,0.046806,0.007968,0.014655,0.111700,0.013229,0.023126,0.288541,0.032005,18.254,4.470,23.280
998,53.773,clean,0.515855,0.515855,0.002525,0.003044,0.028759,0.006030,0.018200,0.108657,0.009146,0.023038,0.250292,0.034453,18.355,4.444,23.357
999,53.826,clean,0.493263,0.493263,0.002946,0.003304,0.038111,0.007138,0.018231,0.114332,0.013508,0.023500,0.248557,0.037110,18.409,4.445,23.421
1000,53.880,clean,0.473683,0.473683,0.002812,0.002873,0.051093,0.007734,0.014057,0.110435,0.013807,0.020463,0.271928,0.031116,19.495,4.464,24.509
1001,53.934,clean,0.478035,0.478035,0.002749,0.002773,0.047382,0.007651,0.014208,0.112628,0.013780,0.022121,0.264776,0.033897,19.658,4.451,24.679
1002,53.990,clean,0.490945,0.490945,0.002331,0.002459,0.053346,0.007527,0.012295,0.099792,0.013016,0.018316,0.274220,0.025753,19.973,4.461,24.998
1003,54.044,clean,0.465245,0.465245,0.002663,0.002414,0.071825,0.008203,0.010850,0.094837,0.015847,0.017027,0.285954,0.025136,19.465,4.438,24.497
1004,54.099,clean,0.512341,0.512341,0.002682,0.003387,0.025955,0.006263,0.021496,0.105067,0.009816,0.024682,0.251358,0.036952,19.036,4.444,24.100
1005,54.155,clean,0.487759,0.487759,0.002734,0.002632,0.055750,0.007844,0.013421,0.102750,0.014216,0.020491,0.261912,0.030492,19.811,4.454,24.814
1006,54.208,clean,0.471790,0.471790,0.002838,0.002803,0.056783,0.008170,0.013701,0.105479,0.014721,0.021747,0.271440,0.030527,18.573,4.445,23.580
1007,54.263,clean,0.526080,0.526080,0.002627,0.003476,0.022792,0.005779,0.022820,0.096712,0.008886,0.024929,0.250037,0.035862,19.667,4.475,24.768
1008,54.319,clean,0.497448,0.497448,0.002702,0.003104,0.036666,0.006949,0.017783,0.108577,0.013130,0.022149,0.255997,0.035495,18.697,4.479,23.923
1009,54.373,clean,0.524982,0.524982,0.002888,0.004685,0.018582,0.006508,0.033173,0.084511,0.012256,0.025163,0.244381,0.042872,19.705,4.453,24.697
1010,54.430,clean,0.476040,0.476040,0.002461,0.002297,0.059457,0.007121,0.010001,0.098781,0.012317,0.017554,0.289330,0.024641,22.131,4.467,27.182
1011,54.486,clean,0.481116,0.481116,0.002693,0.003048,0.038304,0.007201,0.016737,0.113186,0.012058,0.022674,0.269347,0.033636,20.254,4.459,25.288
1012,54.542,clean,0.513915,0.513915,0.002767,0.003182,0.032597,0.006927,0.021753,0.107837,0.011431,0.024713,0.236093,0.038784,20.898,4.480,25.952
1013,54.601,clean,0.502324,0.502324,0.002553,0.002498,0.055062,0.007259,0.012399,0.098232,0.014791,0.018410,0.256296,0.030176,21.067,4.462,26.075
1014,54.654,clean,0.523119,0.523119,0.002433,0.002945,0.028779,0.005985,0.018350,0.109266,0.008538,0.023043,0.243789,0.033753,18.814,4.492,23.874
1015,54.709,clean,0.513535,0.513535,0.002643,0.003010,0.033776,0.006894,0.019448,0.106655,0.012283,0.022551,0.243237,0.035968,18.526,4.468,23.565
1016,54.763,clean,0.499533,0.499533,0.002537,0.002795,0.039608,0.007176,0.016702,0.114084,0.011040,0.022418,0.251197,0.032910,18.266,4.517,23.345
1017,54.816,clean,0.501804,0.501804,0.002382,0.002504,0.046050,0.007430,0.014084,0.107191,0.011829,0.020818,0.255447,0.030460,18.874,4.478,23.914
1018,54.871,clean,0.484967,0.484967,0.002517,0.002490,0.050744,0.007448,0.012240,0.102492,0.012412,0.020436,0.275694,0.028559,19.656,4.500,24.728
1019,54.927,clean,0.521227,0.521227,0.002830,0.003257,0.029670,0.006750,0.022855,0.109066,0.009636,0.026838,0.228108,0.039765,20.532,4.467,25.601
1020,54.982,clean,0.551942,0.551942,0.002658,0.004073,0.016542,0.005652,0.031487,0.087268,0.008831,0.025837,0.226655,0.039055,19.401,4.471,24.436
1021,55.037,clean,0.500899,0.500899,0.003381,0.003803,0.034013,0.007748,0.025824,0.110512,0.012592,0.027996,0.230648,0.042583,19.441,4.475,24.496
1022,55.093,clean,0.455652,0.455652,0.002512,0.002109,0.070290,0.007662,0.008508,0.095728,0.012227,0.016729,0.305642,0.022941,19.837,4.478,24.861
1023,55.148,clean,0.493097,0.493097,0.002474,0.002461,0.050401,0.007028,0.011926,0.101653,0.012820,0.018474,0.270930,0.028737,19.374,4.474,24.407
1024,55.205,clean,0.455708,0.455708,0.002728,0.002143,0.075667,0.007174,0.007534,0.096099,0.012011,0.015903,0.301652,0.023379,20.381,4.450,25.402
1025,55.260,clean,0.513264,0.513264,0.002447,0.002827,0.037033,0.006742,0.016862,0.108111,0.012162,0.021716,0.246343,0.032493,19.703,4.454,24.698
1026,55.316,clean,0.536197,0.536197,0.002611,0.003882,0.018676,0.005783,0.026531,0.090539,0.009526,0.025205,0.241058,0.039991,19.844,4.465,24.856
1027,55.371,clean,0.488533,0.488533,0.002703,0.003131,0.035174,0.007275,0.018252,0.114915,0.010693,0.024834,0.258344,0.036146,19.677,4.448,24.719
1028,55.426,clean,0.525128,0.525128,0.002856,0.003364,0.030607,0.006404,0.021829,0.109194,0.011117,0.024935,0.226046,0.038521,19.048,4.451,24.047
1029,55.479,clean,0.522567,0.522567,0.002857,0.003803,0.024437,0.006567,0.025981,0.094584,0.010778,0.025885,0.245145,0.037397,18.503,4.466,23.596
1030,55.534,clean,0.484173,0.484173,0.002609,0.002423,0.058657,0.007635,0.012151,0.101034,0.014277,0.018858,0.267722,0.030462,19.616,4.462,24.650
1031,55.590,clean,0.487371,0.487371,0.002874,0.003215,0.040269,0.008045,0.019866,0.114516,0.014115,0.024990,0.245996,0.038743,20.313,4.471,25.308
1032,55.645,clean,0.506966,0.506966,0.002489,0.003131,0.029304,0.006628,0.019465,0.106853,0.010815,0.022571,0.256906,0.034872,19.934,4.473,24.985
1033,55.700,clean,0.446487,0.446487,0.003381,0.004096,0.041212,0.009128,0.022781,0.108544,0.017081,0.026096,0.282448,0.038745,20.018,4.460,25.018
1034,55.755,clean,0.518082,0.518082,0.002616,0.003160,0.029951,0.006337,0.019485,0.108582,0.009942,0.023992,0.242170,0.035683,20.002,4.500,25.105
1035,55.809,clean,0.466099,0.466099,0.002922,0.003484,0.036109,0.007395,0.017614,0.112089,0.012383,0.023938,0.281779,0.036187,18.477,4.459,23.507
1036,55.864,clean,0.513479,0.513479,0.002420,0.002837,0.030133,0.006255,0.017124,0.110162,0.009976,0.023032,0.249907,0.034674,19.591,4.456,24.627
1037,55.919,clean,0.493745,0.493745,0.002433,0.002335,0.052979,0.007021,0.011285,0.099850,0.012553,0.018971,0.271636,0.027192,19.311,4.462,24.402
1038,55.975,clean,0.486511,0.486511,0.002391,0.002390,0.047610,0.007307,0.012083,0.103518,0.010793,0.020154,0.278989,0.028254,20.267,4.490,25.307
1039,56.029,clean,0.494410,0.494410,0.002628,0.003213,0.032012,0.006774,0.018889,0.108728,0.010605,0.022935,0.264408,0.035397,18.617,4.454,23.663
1040,56.083,clean,0.466500,0.466500,0.002829,0.002773,0.051066,0.007812,0.013122,0.110791,0.012345,0.022714,0.278668,0.031382,18.776,4.447,23.792
1041,56.137,clean,0.477355,0.477355,0.003081,0.003436,0.042826,0.008641,0.020446,0.113448,0.015951,0.025072,0.249709,0.040034,18.730,4.455,23.725
1042,56.196,clean,0.500668,0.500668,0.003024,0.003549,0.031582,0.006862,0.021568,0.114257,0.011464,0.025971,0.241724,0.039329,18.277,4.469,23.308
1043,56.250,clean,0.477235,0.477235,0.002568,0.002532,0.052438,0.007181,0.011118,0.100736,0.012810,0.018330,0.286362,0.028689,18.890,4.454,23.921
1044,56.302,clean,0.480984,0.480984,0.002766,0.002979,0.043614,0.007459,0.014952,0.111166,0.011715,0.023105,0.268598,0.032663,18.271,4.469,23.294
1045,56.356,clean,0.484030,0.484030,0.002529,0.002711,0.042774,0.007294,0.014560,0.115313,0.011728,0.021679,0.264531,0.032851,18.373,4.474,23.408
1046,56.409,clean,0.486829,0.486829,0.002620,0.002654,0.048578,0.007255,0.012997,0.109585,0.012398,0.020787,0.266074,0.030223,18.384,4.458,23.400
1047,56.462,clean,0.469301,0.469301,0.003028,0.003044,0.052817,0.008313,0.015689,0.118144,0.013765,0.023534,0.258159,0.034207,18.181,4.457,23.208
1048,56.515,clean,0.482323,0.482323,0.002737,0.002691,0.051770,0.007764,0.013611,0.110526,0.012165,0.021531,0.260747,0.034136,18.144,4.462,23.211
1049,56.568,clean,0.472257,0.472257,0.003112,0.003821,0.029969,0.006991,0.020674,0.110640,0.011982,0.025180,0.276189,0.039185,18.280,4.456,23.285
1050,56.621,clean,0.485823,0.485823,0.002536,0.002710,0.042668,0.007306,0.014478,0.109234,0.011866,0.021250,0.271253,0.030876,18.204,4.432,23.195
1051,56.674,clean,0.476829,0.476829,0.002633,0.002512,0.056448,0.007434,0.011478,0.101666,0.013708,0.018861,0.280226,0.028205,18.331,4.422,23.307
1052,56.728,clean,0.486866,0.486866,0.002979,0.003641,0.032521,0.007489,0.022508,0.110311,0.011950,0.026032,0.257262,0.038442,18.320,4.467,23.369
1053,56.781,clean,0.498710,0.498710,0.002972,0.003818,0.026415,0.006632,0.022644,0.101172,0.011222,0.025883,0.261372,0.039160,18.362,4.447,23.386
1054,56.834,clean,0.479084,0.479084,0.002327,0.002241,0.056023,0.007052,0.010204,0.100834,0.010467,0.017506,0.290118,0.024144,18.224,4.457,23.245
1055,56.887,clean,0.529667,0.529667,0.002653,0.004364,0.015304,0.005311,0.027652,0.081458,0.009044,0.024338,0.263091,0.037119,18.196,4.453,23.283
1056,56.940,clean,0.481461,0.481461,0.002414,0.002237,0.059791,0.007168,0.009914,0.097050,0.012393,0.016651,0.285481,0.025439,18.339,4.443,23.355
1057,56.992,clean,0.509356,0.509356,0.002624,0.003202,0.029238,0.006483,0.019655,0.109708,0.009734,0.023763,0.249474,0.036763,18.349,4.464,23.378
1058,57.045,clean,0.484718,0.484718,0.002285,0.002207,0.055147,0.006994,0.010067,0.097848,0.011228,0.017006,0.288125,0.024375,18.304,4.450,23.307
1059,57.098,clean,0.439755,0.439755,0.002582,0.002243,0.073517,0.007814,0.007872,0.091078,0.013878,0.015132,0.322882,0.023248,18.265,4.429,23.256
1060,57.151,clean,0.496601,0.496601,0.002772,0.002983,0.042695,0.007904,0.018633,0.117298,0.013152,0.024289,0.236050,0.037624,18.178,4.525,23.264
1061,57.208,clean,0.479483,0.479483,0.002598,0.002637,0.046030,0.007037,0.012300,0.112562,0.011360,0.020212,0.274939,0.030842,18.312,4.466,23.349
1062,57.262,clean,0.495011,0.495011,0.002671,0.003176,0.034957,0.006737,0.017201,0.111715,0.011678,0.022823,0.260814,0.033217,18.279,4.459,23.300
1063,57.316,clean,0.441081,0.441081,0.003081,0.003923,0.034000,0.007715,0.018820,0.107580,0.012676,0.024513,0.310062,0.036550,18.406,4.443,23.413
1064,57.368,clean,0.464576,0.464576,0.002306,0.001825,0.076762,0.006954,0.006795,0.083718,0.013361,0.013184,0.311003,0.019515,18.316,4.460,23.343
1065,57.421,clean,0.437437,0.437437,0.002370,0.002226,0.066946,0.007898,0.008316,0.087834,0.013568,0.015056,0.336392,0.021956,18.292,4.462,23.312
1066,57.474,clean,0.468227,0.468227,0.002501,0.002162,0.069101,0.007434,0.008826,0.094664,0.012565,0.016004,0.295740,0.022776,18.279,4.461,23.308
1067,57.527,clean,0.451175,0.451175,0.002463,0.002246,0.064161,0.007306,0.008140,0.095383,0.011526,0.016509,0.318544,0.022548,18.305,4.442,23.312
1068,57.580,clean,0.463341,0.463341,0.002242,0.001829,0.070402,0.006554,0.006556,0.081571,0.011990,0.013353,0.322355,0.019808,18.780,4.449,23.804
1069,57.634,clean,0.444047,0.444047,0.002540,0.002406,0.064393,0.007769,0.008991,0.093571,0.015376,0.016049,0.319620,0.025236,18.185,4.436,23.175
1070,57.687,clean,0.465625,0.465625,0.002991,0.003832,0.030077,0.006960,0.018868,0.105334,0.012859,0.024247,0.292884,0.036321,18.325,4.439,23.376
1071,57.739,clean,0.482363,0.482363,0.002913,0.003683,0.027697,0.006924,0.021381,0.105859,0.010770,0.026211,0.272289,0.039910,18.272,4.464,23.300
1072,57.792,clean,0.459616,0.459616,0.002445,0.002093,0.066696,0.006960,0.007772,0.091293,0.012629,0.014640,0.313739,0.022117,18.312,4.446,23.313
1073,57.845,clean,0.454783,0.454783,0.002393,0.002021,0.071090,0.007259,0.007417,0.086561,0.012408,0.014765,0.319662,0.021641,18.311,4.471,23.344
1074,57.897,clean,0.438921,0.438921,0.002897,0.003726,0.034360,0.007389,0.016733,0.103439,0.013324,0.021845,0.324285,0.033080,18.353,4.471,23.393
1075,57.950,clean,0.448389,0.448389,0.002854,0.002478,0.070011,0.007367,0.008694,0.098456,0.013712,0.017349,0.306847,0.023843,18.457,4.469,23.498
1076,58.003,clean,0.459699,0.459699,0.002348,0.002189,0.061729,0.006963,0.007876,0.091976,0.010798,0.015417,0.319199,0.021805,18.263,4.440,23.272
1077,58.056,clean,0.446264,0.446264,0.003051,0.003182,0.047463,0.008225,0.014884,0.109276,0.015895,0.023131,0.294367,0.034262,18.445,4.466,23.489
1078,58.108,clean,0.474616,0.474616,0.002521,0.002506,0.055529,0.007425,0.010919,0.099363,0.013084,0.018152,0.289740,0.026145,18.386,4.448,23.390
1079,58.161,clean,0.458075,0.458075,0.002880,0.002794,0.056193,0.007912,0.011767,0.103631,0.015225,0.020104,0.289583,0.031836,18.341,4.423,23.318
1080,58.216,clean,0.470482,0.470482,0.002514,0.002686,0.048924,0.007471,0.012182,0.103849,0.012260,0.019514,0.293532,0.026587,18.411,4.461,23.431
1081,58.269,clean,0.473702,0.473702,0.002315,0.002315,0.050858,0.006971,0.009999,0.094640,0.011863,0.017043,0.305031,0.025264,18.492,4.452,23.511
1082,58.323,clean,0.459346,0.459346,0.002357,0.002176,0.062449,0.006902,0.008044,0.089209,0.012422,0.014956,0.320376,0.021763,18.288,4.459,23.311
1083,58.375,clean,0.459187,0.459187,0.002300,0.001727,0.075650,0.006892,0.006304,0.083357,0.012251,0.013161,0.318924,0.020248,18.248,4.455,23.268
1084,58.428,clean,0.493309,0.493309,0.002237,0.002290,0.047983,0.006490,0.010485,0.098277,0.011621,0.017108,0.284886,0.025314,18.284,4.448,23.292
1085,58.480,clean,0.492372,0.492372,0.002454,0.002494,0.045322,0.006916,0.012889,0.107849,0.011213,0.020286,0.269295,0.028909,18.301,4.460,23.319
1086,58.533,clean,0.498169,0.498169,0.002611,0.002805,0.037610,0.007013,0.017046,0.119311,0.010990,0.023778,0.244423,0.036245,18.286,4.438,23.283
1087,58.586,clean,0.479716,0.479716,0.002673,0.002635,0.051751,0.007890,0.013605,0.105807,0.013779,0.020419,0.269682,0.032043,18.384,4.455,23.400
1088,58.639,clean,0.487540,0.487540,0.002460,0.002555,0.049111,0.007344,0.012640,0.103317,0.011783,0.019605,0.275591,0.028054,18.254,4.443,23.292
1089,58.691,clean,0.505443,0.505443,0.002828,0.003507,0.028271,0.006518,0.021453,0.103221,0.011564,0.024592,0.253945,0.038657,18.382,4.460,23.462
1090,58.744,clean,0.484116,0.484116,0.002077,0.001909,0.057746,0.006375,0.007718,0.089031,0.010614,0.014874,0.304272,0.021269,18.319,4.451,23.353
1091,58.797,clean,0.557469,0.557469,0.002540,0.004455,0.014814,0.005371,0.030865,0.077304,0.008905,0.023251,0.237941,0.037085,18.426,4.447,23.441
1092,58.850,clean,0.452871,0.452871,0.002450,0.001933,0.076959,0.007206,0.006775,0.088466,0.012807,0.013870,0.315603,0.021059,18.328,4.437,23.323
1093,58.903,clean,0.463092,0.463092,0.002290,0.002137,0.064502,0.007145,0.008177,0.086107,0.013136,0.014146,0.318341,0.020929,18.199,4.504,23.264
1094,58.956,clean,0.474812,0.474812,0.002982,0.003164,0.047817,0.008221,0.016683,0.108955,0.015678,0.023576,0.262653,0.035459,18.379,4.460,23.409
1095,59.008,clean,0.465035,0.465035,0.002369,0.002341,0.060222,0.007789,0.010438,0.093931,0.015006,0.016840,0.300569,0.025460,18.397,4.437,23.398
1096,59.062,clean,0.443804,0.443804,0.002684,0.002780,0.053134,0.008229,0.011759,0.096574,0.015097,0.018990,0.320020,0.026930,18.278,4.470,23.305
1097,59.115,clean,0.452193,0.452193,0.002351,0.002556,0.046599,0.006846,0.009770,0.097861,0.011436,0.016760,0.330002,0.023626,18.242,4.445,23.243
1098,59.169,clean,0.429884,0.429884,0.002500,0.002601,0.057647,0.007578,0.008668,0.088040,0.013832,0.015251,0.351364,0.022633,19.311,4.448,24.338
1099,59.223,clean,0.439017,0.439017,0.002562,0.003372,0.036973,0.007297,0.014060,0.093310,0.012014,0.018553,0.346437,0.026406,18.605,4.458,23.653
1100,59.276,clean,0.484355,0.484355,0.002862,0.004331,0.023067,0.006423,0.022664,0.089451,0.012028,0.022615,0.296792,0.035412,18.386,4.447,23.395
1101,59.329,clean,0.434066,0.434066,0.002819,0.003203,0.044013,0.007691,0.012548,0.101167,0.013803,0.019649,0.331624,0.029417,18.438,4.444,23.436
1102,59.382,clean,0.478926,0.478926,0.002702,0.003595,0.029676,0.006765,0.019249,0.099862,0.012728,0.022011,0.290972,0.033515,18.522,4.454,23.545
1103,59.436,clean,0.514463,0.514463,0.002730,0.003333,0.027682,0.006250,0.021198,0.104781,0.010044,0.024288,0.247981,0.037252,18.367,4.465,23.402
1104,59.489,clean,0.533379,0.533379,0.002876,0.003999,0.021184,0.006340,0.029323,0.094890,0.010714,0.027034,0.229868,0.040394,18.414,4.464,23.454
1105,59.541,clean,0.579720,0.579720,0.002302,0.004038,0.014104,0.005043,0.030759,0.078395,0.009945,0.021343,0.218655,0.035698,18.424,4.456,23.433
1106,59.594,clean,0.537132,0.537132,0.002635,0.003855,0.019052,0.005374,0.024701,0.091413,0.008408,0.024525,0.247863,0.035042,18.229,4.455,23.243
1107,59.647,clean,0.551923,0.551923,0.002471,0.004545,0.013462,0.005155,0.031395,0.075707,0.009370,0.022222,0.246788,0.036963,18.307,4.510,23.373
1108,59.699,clean,0.540714,0.540714,0.002529,0.003263,0.025738,0.005941,0.021696,0.095068,0.010914,0.022881,0.236618,0.034638,17.883,4.459,22.919
1109,59.752,clean,0.512957,0.512957,0.002664,0.003537,0.026708,0.006665,0.023717,0.100254,0.010578,0.025390,0.250238,0.037291,18.659,4.463,23.678
1110,59.805,clean,0.516462,0.516462,0.002791,0.003777,0.027039,0.006900,0.025073,0.095946,0.011266,0.024864,0.249217,0.036665,19.201,4.464,24.242
1111,59.859,clean,0.552687,0.552687,0.002111,0.003599,0.014497,0.004834,0.024582,0.082676,0.006882,0.022177,0.254911,0.031044,18.456,4.450,23.532
1112,59.911,clean,0.509855,0.509855,0.002554,0.003443,0.024529,0.006073,0.020849,0.099910,0.009966,0.023656,0.264068,0.035098,18.381,4.468,23.468
1113,59.964,clean,0.501567,0.501567,0.002709,0.003337,0.035356,0.007489,0.021029,0.109016,0.012536,0.023357,0.246708,0.036898,18.309,4.474,23.351
1114,60.017,clean,0.546910,0.546910,0.002509,0.003698,0.020762,0.006006,0.027822,0.089434,0.009500,0.023365,0.234256,0.035737,18.420,4.463,23.453
1115,60.070,clean,0.519456,0.519456,0.002599,0.003097,0.030174,0.006468,0.019749,0.107214,0.010218,0.023486,0.240872,0.036667,18.184,4.460,23.208
1116,60.122,clean,0.504727,0.504727,0.002584,0.002578,0.052422,0.007244,0.013446,0.107609,0.012648,0.020267,0.246782,0.029694,18.216,4.446,23.274
1117,60.176,clean,0.556636,0.556636,0.002576,0.004203,0.016518,0.005782,0.031908,0.084691,0.008862,0.025053,0.226699,0.037072,19.366,4.470,24.399
1118,60.230,clean,0.476449,0.476449,0.002640,0.002626,0.051835,0.007603,0.012780,0.101808,0.014147,0.019545,0.279024,0.031545,19.372,4.463,24.384
1119,60.285,clean,0.581349,0.581349,0.002110,0.003851,0.011703,0.004471,0.029642,0.077083,0.007245,0.021603,0.228106,0.032839,20.294,4.459,25.316
1120,60.340,clean,0.507467,0.507467,0.002333,0.002335,0.048437,0.006545,0.011794,0.098660,0.011611,0.017859,0.267232,0.025727,19.866,4.455,24.869
1121,60.394,clean,0.515093,0.515093,0.002846,0.003778,0.024836,0.006390,0.024129,0.098946,0.010265,0.024874,0.249406,0.039436,19.478,4.437,24.485
1122,60.449,clean,0.493940,0.493940,0.002826,0.002976,0.045391,0.007930,0.017800,0.120282,0.012879,0.024117,0.234870,0.036989,19.308,4.468,24.350
1123,60.504,clean,0.541913,0.541913,0.002543,0.003072,0.027637,0.006024,0.021361,0.104650,0.009209,0.023237,0.224324,0.036031,19.578,4.471,24.612
1124,60.558,clean,0.520478,0.520478,0.002859,0.003215,0.033721,0.006976,0.021773,0.110106,0.011338,0.025455,0.225913,0.038165,19.277,4.456,24.296
1125,60.613,clean,0.516278,0.516278,0.002472,0.002407,0.050626,0.006685,0.012645,0.106760,0.012452,0.019149,0.241372,0.029155,19.686,4.454,24.695
1126,60.667,clean,0.488778,0.488778,0.003058,0.003112,0.043906,0.007656,0.017615,0.117053,0.012527,0.025434,0.243416,0.037444,19.048,4.537,24.130
1127,60.722,clean,0.526746,0.526746,0.002333,0.002927,0.025456,0.005721,0.018596,0.103184,0.009108,0.023031,0.250326,0.032571,20.057,4.457,25.060
1128,60.777,clean,0.549877,0.549877,0.002319,0.003830,0.016033,0.005233,0.026579,0.086877,0.007750,0.022751,0.244880,0.033872,20.065,4.446,25.082
1129,60.833,clean,0.503171,0.503171,0.002327,0.002464,0.044161,0.007147,0.013832,0.106073,0.011006,0.019462,0.259166,0.031191,20.796,4.459,25.815
1130,60.886,clean,0.541540,0.541540,0.002526,0.003954,0.017795,0.005976,0.029808,0.088425,0.009562,0.024838,0.238365,0.037211,18.548,4.461,23.583
1131,60.941,clean,0.527632,0.527632,0.002420,0.002819,0.033497,0.006589,0.019273,0.107050,0.010176,0.022429,0.235539,0.032576,19.460,4.473,24.504
1132,60.997,clean,0.456488,0.456488,0.002628,0.002023,0.082838,0.008202,0.008456,0.091644,0.012665,0.015654,0.297295,0.022107,20.831,4.476,25.862
1133,61.051,clean,0.614425,0.614425,0.001870,0.003674,0.010054,0.004113,0.031342,0.073776,0.005878,0.021031,0.202884,0.030954,18.501,4.444,23.510
1134,61.106,clean,0.506703,0.506703,0.002629,0.002751,0.041389,0.006961,0.015966,0.118349,0.011082,0.023158,0.236339,0.034674,20.016,4.469,25.032
1135,61.162,clean,0.518474,0.518474,0.002679,0.003613,0.024301,0.006455,0.024170,0.098286,0.010701,0.025328,0.248309,0.037685,19.493,4.477,24.542
1136,61.217,clean,0.481087,0.481087,0.002803,0.002799,0.049600,0.007835,0.014896,0.112630,0.013643,0.021793,0.258046,0.034868,20.852,4.453,25.844
1137,61.274,clean,0.473663,0.473663,0.002755,0.002917,0.046366,0.007296,0.013926,0.110241,0.012942,0.021103,0.276748,0.032043,19.821,4.452,24.801
1138,61.330,clean,0.498195,0.498195,0.002432,0.002888,0.035195,0.006741,0.016483,0.108577,0.010490,0.021369,0.267653,0.029977,20.847,4.450,25.857
1139,61.387,clean,0.497322,0.497322,0.002956,0.003211,0.039125,0.007609,0.019950,0.117090,0.011775,0.025358,0.234694,0.040909,18.757,4.512,23.838
1140,61.442,clean,0.501160,0.501160,0.002830,0.003263,0.032708,0.006832,0.019500,0.115388,0.010824,0.025714,0.245427,0.036355,19.429,4.459,24.432
1141,61.498,clean,0.509011,0.509011,0.002935,0.003445,0.035126,0.007474,0.023021,0.115072,0.011299,0.026827,0.226497,0.039293,20.547,4.471,25.565
1142,61.553,clean,0.504260,0.504260,0.002411,0.002618,0.039795,0.006858,0.014688,0.109464,0.011130,0.021312,0.256279,0.031186,19.656,4.460,24.672
1143,61.609,clean,0.493036,0.493036,0.002558,0.002952,0.037853,0.006941,0.016100,0.107322,0.012395,0.020406,0.268936,0.031501,19.386,4.434,24.364
1144,61.666,clean,0.506666,0.506666,0.002657,0.003700,0.023982,0.006502,0.024098,0.095343,0.010399,0.024551,0.266778,0.035325,20.032,4.449,25.041
1145,61.721,clean,0.478086,0.478086,0.002769,0.002989,0.046141,0.007652,0.014706,0.106606,0.013135,0.020941,0.275759,0.031215,19.736,4.464,24.767
1146,61.776,clean,0.503159,0.503159,0.002680,0.003653,0.024604,0.006243,0.021591,0.095901,0.011078,0.023294,0.273260,0.034538,19.592,4.447,24.600
1147,61.832,clean,0.513329,0.513329,0.002973,0.004009,0.026849,0.007103,0.026646,0.093831,0.012930,0.024825,0.248532,0.038975,20.336,4.468,25.339
1148,61.889,clean,0.548257,0.548257,0.002245,0.004382,0.012774,0.005184,0.031863,0.074901,0.008877,0.021504,0.256222,0.033790,21.059,4.467,26.110
1149,61.945,clean,0.504224,0.504224,0.002279,0.002285,0.053587,0.007546,0.012719,0.096788,0.013215,0.017477,0.263243,0.026639,20.522,4.457,25.579
1150,62.002,clean,0.493225,0.493225,0.002789,0.003252,0.033841,0.006851,0.018323,0.109257,0.012064,0.023773,0.260539,0.036086,20.266,4.468,25.280
1151,62.057,clean,0.541615,0.541615,0.002580,0.004374,0.015827,0.005643,0.029630,0.082366,0.009172,0.023929,0.246673,0.038192,18.823,4.455,23.841
1152,62.110,clean,0.498528,0.498528,0.002777,0.003239,0.032776,0.006776,0.019325,0.109301,0.010933,0.023946,0.256392,0.036007,18.369,4.489,23.522
1153,62.163,clean,0.483757,0.483757,0.002468,0.002402,0.054158,0.007428,0.011841,0.105995,0.011257,0.018936,0.273473,0.028284,18.405,4.459,23.471
1154,62.216,clean,0.500058,0.500058,0.002699,0.003282,0.035157,0.007336,0.020607,0.109686,0.011753,0.023999,0.249070,0.036352,18.357,4.463,23.382
1155,62.270,clean,0.538168,0.538168,0.002484,0.003465,0.022954,0.005891,0.023383,0.092413,0.011326,0.022328,0.242698,0.034890,18.344,4.457,23.371
1156,62.325,clean,0.527191,0.527191,0.002491,0.003505,0.020613,0.005618,0.022455,0.094883,0.008092,0.024263,0.255041,0.035849,19.795,4.446,24.824
1157,62.379,clean,0.503610,0.503610,0.002490,0.002778,0.037588,0.006596,0.015298,0.113142,0.010440,0.021879,0.254560,0.031620,19.254,4.434,24.304
1158,62.436,clean,0.467201,0.467201,0.002327,0.002268,0.058429,0.007160,0.009626,0.098761,0.011260,0.016784,0.303566,0.022617,19.681,4.451,24.694
1159,62.492,clean,0.492456,0.492456,0.002523,0.002355,0.055659,0.006961,0.011236,0.103034,0.013040,0.018277,0.265737,0.028723,19.883,4.467,24.904
1160,62.548,clean,0.515969,0.515969,0.002470,0.002662,0.040481,0.006615,0.015325,0.112790,0.010710,0.021396,0.237896,0.033687,20.912,4.446,25.901
1161,62.603,clean,0.503509,0.503509,0.002209,0.002241,0.050325,0.006520,0.010387,0.095134,0.012167,0.016877,0.276152,0.024478,19.434,4.465,24.476
1162,62.657,clean,0.448229,0.448229,0.002798,0.003706,0.033528,0.007313,0.016896,0.101816,0.012559,0.022242,0.319015,0.031898,18.910,4.443,23.925
1163,62.710,clean,0.483816,0.483816,0.002697,0.003950,0.024786,0.006251,0.020215,0.094366,0.011238,0.023245,0.298029,0.031406,18.367,4.443,23.381
